ID,Info,en,fi,sv,ma
comment.submitted.success,,Thank you for your feedback!,Kiitos palautteesta!,Tack för din respons!,
comment.submitted.failure,,Comment submission failed!,Lähetys epäonnistui,Överföringen lyckades inte!,
spoTasksTableHeader.taskName,,Task name,Nimi,Uppgiftens namn,
spoTasksTableHeader.category,,Type,Tyyppi,Typ,
spoTasksTableHeader.status,,Status,Tila,Status,
spoTasksTableHeader.priority,,Priority,Prioriteetti,Prioritet,
spoTasksTableHeader.dueDate,,Due date,Eräpäivä,Förfallodag,
spoTasksTableHeader.assigned,,Assigned to,Käsittelijä,Hanterare,
spoTasksTableHeader.assignedUser,,User,Käyttäjä,Användare,
spoTasksTableHeader.created,,Created,Luotu,Ankomnstdatum,
spoTasksTableHeader.clientName,,Client,Asiakas,Kund,
taskDialog.clientIdentificator,,Client name,Asiakas,Kundens namn,
taskDialog.assignedUserEmail,,User\'s email,Käyttäjän sähköposti,Användarens e-post,
task.editRoles,,Task groups,Tehtäväryhmät,Arbetsgrupper,
Questionnaire,,Questionnaire,Lomake,Blankett,
Manual,,Manual,Manuaalinen,Manuellt,
Protected,,Protected,Suojattu,Skyddad,
Normal,,Normal,Normaali,Normalt,
Represented,,Represented,Valtuutetu,Representerade,
CustomerCreated,,Customer created,Asiakas luotu,Kund skapad,
Internal,,Internal,Sisäinen,Intern,
task.role.assignedAllUsers,,All users,Kaikki käyttäjät,Alla användare,
task.feedback.published,,Published reply,Julkaistu vastaus,Publicerat svar,
confirm.close.title,,Confirmation required,Vahvistus vaaditaan,Bekräftelse krävs,
confirm.unsavedChanges,,"Unsaved changes will be lost, do you want to continue?",Tallentamattomat muutokset menetetään. Haluatko jatkaa?,"Osparade ändringar kommer att gå förlorade, vill du fortsätta?",
task.statistics.statusCount,,By status,Tilan mukaan,Efter status,
task.statistics.priorityCount,,By priority,Prioriteetin mukaan,Efter prioritet,
task.statistics.daily,,Daily,Päivittäin,Dagligen,
task.statistics.overdue,,Overdue,Myöhässä,Försenad,
feedback.button,,Send feedback,Lähetä palautetta,Skicka respons,
feedback.thanks,,Thank you for your feedback!,Kiitos palautteestasi!,Tack för din respons!,
feedback.create.title,,Create public reply to customer feedback,Create public reply to customer feedback,Create public reply to customer feedback,
feedback.title,,Public reply to customer feedback,Public reply to customer feedback,Public reply to customer feedback,
feedback.update.title,,Edit public reply to customer feedback,Edit public reply to customer feedback,Edit public reply to customer feedback,
feedback.description,,Description,Kuvaus,Beskrivning,
feedback.name,,Your name,Nimesi,Ditt namn,
feedback.sendScreenshot,,Send screenshot,Lähetä ruutukaappaus,Skicka en skärmdump,
feedback.close,,Close,Peru,Avbryt,
feedback.send,,Send,Lähetä,Skicka,
feedback.category,,Category,Category,Category,
feedback.subCategory,,Subcategory,Subcategory,Subcategory,
feedback.myReply,,Reply to customer,Reply to customer,Reply to customer,
feedback.noFeedback.info1,,No reply to publish!,No reply to publish!,No reply to publish!,
feedback.noFeedback.info2,,"Please send an external comment to customer, then you can publish the external comment.","Please send an external comment to customer, then you can publish the external comment.","Please send an external comment to customer, then you can publish the external comment.",
feedback.customerFeedback,,Customer feedback,Customer feedback,Customer feedback,
feedback.customerApprovals,,Customer approvals,Customer approvals,Customer approvals,
feedback.sourceTaskId,,Source task id,Source task id,Source task id,
feedback.formName,,Form name,Form name,Form name,
feedback.dateReceived,,Date received from customer,Date received from customer,Date received from customer,
feedback.createdBy,,Created by,Created by,Created by,
feedback.updatedBy,,Updated by,Updated by,Updated by,
feedback.updated,,Last updated,Last updated,Last updated,
feedback.notPublished,,This feedback is not published,This feedback is not published,This feedback is not published,
feedback.isPublished,,This feedback is published and publicly viewable,This feedback is published and publicly viewable,This feedback is published and publicly viewable,
help.title,,Help,Ohjeet,Anvisningar,
attachmentView.title,,Attachments,Liitetiedostoja,Attachments,
attachmentTableHeader.size,,Size,Koko,Size,
attachmentTableHeader.updated,,Updated,Päivitetty,Updated,
attachmentTableHeader.created,,Created,Luotu,Created,
attachmentTableHeader.name,,Name,Nimi,Name,
attachmentButton.addAttachment,,Add file,Lisää tiedosto,Add file,
attachmentButton.downloadAttachment,,Download file,Lataa tiedosto,Download file,
attachment.uploadOk,,File {fileName} uploaded,Tiedosto {fileName} ladattu,File {fileName} uploaded,
attachment.uploadFailed,,File {fileName} upload failed!,tiedoston {fileName} lataaminen epäonnistui!,File {fileName} upload failed!,
workflowReleaseTable.title,,Workflow release tags,Kokoonpano,Workflow release,
workflowReleaseTableHeader.name,,Name,Nimi,Name,
workflowReleaseTableHeader.description,,Description,Kuvaus,Description,
workflowReleaseTableHeader.updatedBy,,Updater,Päivittäjä,Updater,
workflowReleaseTableHeader.updated,,Updated,Päivitetty,Updated,
workflowReleaseTable.addButton,,Add,Lisää uusi,Add,
workflowReleaseTable.viewButton,,View,Katso,View,
workflowReleaseTable.exportButton,,Export,Lataa,Export,
workflowRelease.dialogTitle,,Workflow release,Työnkulun julkaisu,View workflow release,
workflowRelease.name,,Release name,Nimi,Release name,
workflowRelease.description,,Description,Kuvaus,Description,
workflowRelease.releaseCreationFailed,,"Workflow tag creation failed, cause: {cause}","Palveluversion luominen epäonnistui, syy: {cause}","Workflow tag creation failed, cause: {cause}",
publicationsTable.title,,Publications,Julkaisut,Release,
publicationsTableHeader.name,,Release name,Tunniste,Release name,
publicationsTableHeader.description,,Description,Kuvaus,Description,
publicationsTableHeader.createdBy,,User,Päivittäjä,User,
publicationsTableHeader.created,,Created,Luotu,Created,
publicationsTableHeader.contentTag,,Content tag,Sisältöversio,Content tag,
publicationsTableHeader.workflowTag,,Workflow tag,Palveluversio,Workflow tag,
publicationsTableHeader.wrenchTag,,Wrench tag,Prosessiversio,Wrench tag,
publicationsTableHeader.liveDate,,Live date,,,
publicationsTable.addButton,,Add,Lisää uusi,Add,
publicationsTable.viewButton,,View,Katso,View,
publicationsTable.exportButton,,Export,Lataa,Export,
publicationsTable.uploadButton,,Upload,,,
publications.external,,This is externally configured deployment and will be in effect when there are no other deployments,,,
publications.changeStatus,,Modify deployment status,,,
publications.currentStatus,,Current status of deployment,,,
publications.remove,,Remove deployment,,,
publications.deploy,,Deploy now,,,
publications.dialogTitle,,Create new Publication,Julkaisu,Release,
publications.name,,Release name,Tunniste,Release name,
publications.description,,Description,Kuvaus,Description,
publications.workflowTag,,Workflow tag,Palveluversio,Workflow tag,
publications.wrenchTag,,Wrench tag,Prosessiversio,Wrench tag,
publications.contentTag,,Content tag,Sisältöversio,Content tag,
publications.createNewTag,,"Create new tag \""{tag}\""","Luo uusi versio \""{tag}\""","Create new tag \""{tag}\""",
publications.downloadFailed,,"Release download failed, cause: {cause}","Julkaisun lataus epäonnistui, syy: {cause}","Release download failed, cause: {cause}",
publications.tagCreationFailed,,"Release creation failed, cause: {cause}","Julkaisun luominen epäonnistui, syy: {cause}","Release creation failed, cause: {cause}",
dialobForms.dialog.heading,,Forms,Lomakkeet,Forms,
dialobForms.table.tooltip.add,,Add,Lisää,Add,
dialobForms.table.label,,ID,Nimi,ID,
dialobForms.table.created,,Created,Luotu,Created,
dialobForms.table.lastSaved,,Updated,Päivitetty,Updated,
dialobForms.table.tooltip.edit,,Edit,Muokkaa,Edit,
dialobForms.dialog.emptyTitle,,-,-,-,
dialobForms.table.tooltip.copy,,Copy,Kopio,Copy,
dialobForms.table.tooltip.delete,,Remove,Poista,Remove,
dialobForm.saveFailed,,Saving failed,Tallennus epäonnistui,Saving failed,
dialobForm.downloadFailed,,Saving failed,Tallennus epäonnistui,Saving failed,
dialobForm.deleteFailed,,Remove failed,Poisto epäonnistui,Remove failed,
dialobForm.heading.copyDialog,,Copy,Kopio lomake,Copy,
dialobForm.heading.addDialog,,Add,Lisää lomake,Add,
dialobForm.dialog.formName,,ID,ID,ID,
dialobForm.dialog.formLabel,,Name,Nimi,Name,
dialobForm.error.invalidFormName,,Incorrect ID,Väärä ID,Incorrect ID,
dialobForm.dialog.deleteQuestion,,"Do you want to remove form \""{formName}\""?","Haluatko poistaa lomakkeen \""{formName}\""?","Do you want to remove form \""{formName}\""?",
dialobForm.heading.deleteDialog,,Remove form,Lomakkeen poisto,Remove form,
dialobForm.review.title,,Form review,Lomakkeen tarkistus,Form review,
feedback.notenabled,,Feedback is not enabled for this task,Feedback is not enabled for this task,Feedback is not enabled for this task,
pages,,Pages,Sivut,,
articles,,Articles,Artikkelit,,
locale,,Locale,Sijainti,,
locales,,Site Languages,Sijainnit,,
tag,,Tag,Merkintä,,
links,,Links,Linkit,,
releases,,Releases,Julkaisut,,
options,,Options,Valinnat,,
value,,Value,Arvo,,
date,,Date,Päiväys,,
order,,Order,Järjestys,,
description,,Description,Kuvaus,,
name,,Name,Nimi,,
delete,,Delete,Poista,,
download,,Download JSON,Lataa JSON,,
disable,,Disable,Poista käytöstä,,
status,,Status,Status,,
created,,Created,Luotu,,
modified,,Modified,Muokattu,,
rename,,Rename,Nimeä uudelleen,,
reorder,,Re-order,Järjestä uudelleen,,
remove,,Remove,Irrota,,
site.content.empty,,Site has no content! Create content before making a release!,,,
composer.select.article,,Select Article,Valitse artikkelit,,
search.field.placeholder,,Enter search keyword,,,
search.results.title,,Search results,,,
search.field.label,,Search,,,
search.all,,All,,,
search.articles,,Articles,,,
search.services,,Services,,,
search.links,,Links,,,
search.templates,,Templates,,,
activities.title,,Activities,,,
activities.desc,,"Create, view, and navigate site resources",,,
activities.article.title,,Article,,,
activities.article.desc,,"An Article is like a category: It groups Pages, Links, and Services together under one roof.",,,
activities.locale.title,,Locale,,,
activities.locale.desc,,"Locales are your languages: Add, activate, and deactivate sitewide locales here. You can add a Page in a specific language if you have defined a locale for that page.",,,
activities.page.title,,Page,,,
activities.page.desc,,A Page is one content file within an Article. It represents one language and any links / workflows that are associated with an Article. It is written using Markdown syntax.,,,
activities.link.title,,Hyperlink,,,
activities.link.desc,,"A Hyperlink will connect users to webpages you own, webpages of other organisations, and your telephone numbers.",,,
activities.release.title,,Release,,,
activities.release.desc,,"A Release is a snapshot of all site content at one certain point of time. Use this for testing, prouduction, or backup purposes.",,,
activities.migration.title,,Migration,,,
migration.create,,Migrate data,,,
activities.migration.desc,,Use a JSON file to perform a migration of a site.,,,
activities.templates.title,,Templates,,,
activities.templates.desc,,Use templates to customise and standardise a page default Markdown content and/or structure. Templates can be applied to new pages upon creation. Not implemented yet!,,,
activities.version.composer,,"Composer: build version {version}, build date {date}",,,
activities.version.core,,"Core: build version {version}, build date {date}",,,
templates,,Templates,,,
template.name,,Name,,,
template.name.desc,,User-given name for this template,,,
template.create,,Create template,,,
template.edit,,Edit Template,,,
template.type,,Template type,,,
template.page,,Page template,,,
template.page.desc,,This template can be applied to a new page upon creation of that page.,,,
template.description,,Write templates in Markdown to apply to your pages and content. Templates help speed up your development and unify your content structure.,,,
template.desc,,Description,,,
template.description.desc,,Additional information to help identify the use cases of this template,,,
template.delete,,Delete template,,,
template.delete.message,,This template will be permanently removed from the application,,,
template.newpage.none,,None,,,
templates.templatesview.description,,A new Page can be created from a Template,,,
